timestamp,room_id,co2,temperature,study_time,submission_rate,quiz_score
2026-04-01 09:00:00,Room101,1300,22.5,50,0.85,88
2026-04-01 09:10:00,Room101,,23.0,45,0.70,82
2026-04-01 09:20:00,Room101,1400,-5.0,20,0.40,
2026-04-01 09:30:00,Room101,1250,24.0,15,0.30,60
2026-04-01 09:00:00,Room102,800,21.0,80,0.95,95
2026-04-01 09:10:00,Room102,850,45.0,85,0.90,90
2026-04-01 09:20:00,Room102,,22.0,90,0.92,92
2026-04-01 09:30:00,Room102,900,22.5,75,0.88,85
2026-04-01 09:00:00,Room103,1350,20.0,10,0.20,50
2026-04-01 09:10:00,Room103,1450,20.5,15,0.25,55
2026-04-01 09:20:00,Room103,1500,21.0,5,0.10,
2026-04-01 09:30:00,Room103,1250,21.5,20,0.30,60
